NHPD Property ID,Property Name,Property Address,City,State,Zip,CBSACode,CBSA Type,County,County Code,Census Tract,CongressionalDistrict,Latitude,Longitude,PropertyStatus,Active Subsidies,TotalInconclusiveSubsidies,TotalInactiveSubsidies,Total Units,EarliestStartDate,EarliestEndDate,LatestEndDate,Owner,Owner Type,ManagerName,ManagerType,HUD Property ID,ReacScore1,ReacScore1Date,ReacScore2,ReacScore2Date,ReacScore3,ReacScore3Date,0-1 BedroomUnits,TwoBedroomUnits,ThreePlusBedroomUnits,Percent of ELI Households,TargetTenantType,FairMarketRent_2BR,EarliestConstructionDate,LatestConstructionDate,Occupancy Rate,AverageMonthsOfTenancy,NumberActiveSection8,NumberInconclusiveSection8,NumberInactiveSection8,S8_1_ID,S8_1_Status,S8_1_ProgramName,S8_1_RenewalStatus,S8_1_StartDate,S8_1_EndDate,S8_1_AssistedUnits,S8_1_RentToFMR,S8_1_InacStatusDesc,S8_2_ID,S8_2_Status,S8_2_ProgramName,S8_2_RenewalStatus,S8_2_StartDate,S8_2_EndDate,S8_2_AssistedUnits,S8_2_RentToFMR,S8_2_InacStatusDesc,NumberActiveSection202,NumberInconclusiveSection202,NumberInactiveSection202,S202_1_ID,S202_1_Status,S202_1_ProgramName,S202_1_StartDate,S202_1_EndDate,S202_1_AssistedUnits,S202_1_PrincipalBalance,S202_1_InacStatusDesc,S202_2_ID,S202_2_Status,S202_2_ProgramName,S202_2_StartDate,S202_2_EndDate,S202_2_AssistedUnits,S202_2_PrincipalBalance,S202_2_InacStatusDesc,NumberActiveSection236,NumberInconclusiveSection236,NumberInactiveSection236,S236_1_ID,S236_1_Status,S236_1_ProgramName,S236_1_StartDate,S236_1_EndDate,S236_1_AssistedUnits,S236_1_InacStatusDesc,S236_2_ID,S236_2_Status,S236_2_ProgramName,S236_2_StartDate,S236_2_EndDate,S236_2_AssistedUnits,S236_2_InacStatusDesc,NumberActiveHUDInsured,NumberInconclusiveHUDInsured,NumberInactiveHud,FHA_1_ID,FHA_1_Status,FHA_1_ProgramName,FHA_1_StartDate,FHA_1_EndDate,FHA_1_AssistedUnits,FHA_1_PrincipalBalance,FHA_1_InacStatusDesc,FHA_2_ID,FHA_2_Status,FHA_2_ProgramName,FHA_2_StartDate,FHA_2_EndDate,FHA_2_AssistedUnits,FHA_2_PrincipalBalance,FHA_1_InacStatusDesc,NumberActiveLihtc,NumberInconclusiveLihtc,NumberInactiveLihtc,LIHTC_1_ID,LIHTC_1_Status,LIHTC_1_ProgramName,LIHTC_1_StartDate,LIHTC_1_EndDate,LIHTC_1_AssistedUnits,LIHTC_1_ConstructionType,LIHTC_1_InacStatusDesc,LIHTC_2_ID,LIHTC_2_Status,LIHTC_2_ProgramName,LIHTC_2_StartDate,LIHTC_2_EndDate,LIHTC_2_AssistedUnits,LIHTC_2_ConstructionType,LIHTC_2_InacStatusDesc,NumberActiveSection515,NumberInconclusiveSection515,NumberInactiveSection515,RHS515_1_ID,RHS515_1_Status,RHS515_1_ProgramName,RHS515_1_StartDate,RHS515_1_EndDate,RHS515_1_AssistedUnits,RHS515_1_PrincipalBalance,RHS515_1_InacStatusDesc,RHS515_2_ID,RHS515_2_Status,RHS515_2_ProgramName,RHS515_2_StartDate,RHS515_2_EndDate,RHS515_2_AssistedUnits,RHS515_2_PrincipalBalance,RHS515_1_InacStatusDesc,NumberActiveSection536,NumberInconclusiveSection536,NumberInactiveSection536,RHS538_1_ID,RHS538_1_Status,RHS538_1_ProgramName,RHS538_1_StartDate,RHS538_1_EndDate,RHS538_1_AssistedUnits,RHS538_1_PrincipalBalance,RHS538_1_InacStatusDesc,RHS538_2_ID,RHS538_2_Status,RHS538_2_ProgramName,RHS538_2_StartDate,RHS538_2_EndDate,RHS538_2_AssistedUnits,RHS538_2_PrincipalBalance,RHS538_2_InacStatusDesc,NumberActiveHome,NumberInconclusiveHome,NumberInactiveHome,HOME_1_ID,HOME_1_Status,HOME_1_ProgramName,HOME_1_StartDate,HOME_1_EndDate,HOME_1_AssistedUnits,HOME_1_ConstructionType,HOME_1_InacStatusDesc,HOME_2_ID,HOME_2_Status,HOME_2_ProgramName,HOME_2_StartDate,HOME_2_EndDate,HOME_2_AssistedUnits,HOME_2_ConstructionType,HOME_2_InacStatusDesc,NumberActivePublicHousing,NumberInconclusivePublicHousing,NumberInactivePublicHousing,PH_1_ID,PH_1_Status,PH_1_ProgramName,PH_1_StartDate,PH_1_EndDate,PH_1_AssistedUnits,PH_1_InacStatusDesc,PH_1_PhaCode,PH_2_ID,PH_2_Status,PH_2_ProgramName,PH_2_StartDate,PH_2_EndDate,PH_2_AssistedUnits,PH_2_InacStatusDesc,PH_2_PhaCode,NumberActiveState,NumberInconclusiveState,NumberInactiveState,State_1_ID,State_1_Status,State_1_ProgramName,State_1_StartDate,State_1_EndDate,State_1_AssistedUnits,State_1_InacStatusDesc,State_1_ConstructionType,State_2_ID,State_2_Status,State_2_ProgramName,State_2_StartDate,State_2_EndDate,State_2_AssistedUnits,State_2_InacStatusDesc,State_2_ConstructionType,Old NHPD Property ID
1037886,SWAINSBORO PRESBYTERIAN APARTMENTS,310 Mary Ann St,Swainsboro,GA,30401-3050,,,Emanuel,13107,13107970600,12,32.593485,-82.33603,Active,1,1,0,50,7/1/2006,5/21/2019,6/1/2041,Swainsboro Presbyterian Housing Corporation,Non-Profit,PRESBYTERIAN HOMES OF GEORGIA INC,Non-Profit,800004993,97c,07/12/2018,93b,04/01/2015,93b,04/01/2015,48,2,0,40,Elderly,660,1/1/1982,1/1/1982,96,56,0,1,0,GA06T801012,Inconclusive,202/8 SR,Renewal,5/22/2014,5/21/2019,50,151.94,End Date Passed,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,1,0,0,6111165,Active,207/ 223(F) PUR/ REFIN HSG,7/1/2006,6/1/2041,50,1409801.96,,,,,,,,1409801.96,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,241
1037891,GREEN MEADOWS TOWNHOUSES,3867 Log Cabin Dr,Macon,GA,31204-4144,31420,Metropolitan Statistical Area,Bibb,13021,13021012400,02,32.83709,-83.69851,Inconclusive,0,1,0,120,6/1/2017,5/31/2019,5/31/2019,GREEN MEADOWS HOLDINGS LLC,Profit Motivated,ASPEN COMPANIES MANAGEMENT LLC,Profit Motivated,800037045,74c*,02/27/2017,74c*,02/27/2017,74c*,02/21/2017,6,60,54,92,Family,787,1/1/1980,1/1/1980,91,38,0,1,0,GA06E000003,Inconclusive,PD/8 Existing,Renewal,6/1/2017,5/31/2019,120,94.68,End Date Passed,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,515
1002244,LAKEVIEW APARTMENTS,1210 Stewart St,Carrollton,GA,30117-1741,12060,Metropolitan Statistical Area,Carroll,13045,13045910600,03,33.602546,-85.06587,Active,1,1,1,99,10/1/1979,6/7/2019,1/1/2050,LAKEVIEW APTS LTD,Profit Motivated,RUSSELL PROPERTY MANAGEMENT,Limited Dividend,800004825,84c,05/11/2018,84c,05/10/2018,93b,10/28/2013,34,48,16,86,Elderly,850,1/1/1977,1/1/1977,93,71,0,1,0,GA060009007,Inconclusive,Sec 8 NC,Renewal,6/8/2014,6/7/2019,98,70.76,End Date Passed,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,1,0,1,6111309,Active,207/ 223(F) PUR/ REFIN HSG,2/1/2015,1/1/2050,99,2866978.85,,,,,,,,2866978.85,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,
1037884,TATTNAL EVANS HSNG INC,312 Henry St,Glennville,GA,30427-2456,,,Tattnall,13267,13267950300,12,31.93787,-81.92323,Active,1,1,0,6,5/25/1990,6/14/2019,7/1/2029,TATTNAL EVANS HSNG INC,Non-profit,Pineland Mental Health & Mental Retardation Servic,Multiple,800005002,79b,08/29/2018,78b,01/25/2017,78b,01/25/2017,5,,,,Disabled,660,1/1/1987,1/1/1987,,,0,1,0,GA06T851016,Inconclusive,202/8 NC,Renewal,6/15/2014,6/14/2019,5,92.17,End Date Passed,,,,,,,,,,1,0,0,800005002,Active,202/8 Direct Loan/ Elderly-Handicapped,5/25/1990,7/1/2029,5,93503.37,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,240
1015064,BATTLEWOOD APARTMENTS,1830 Fant Dr,Fort Oglethorpe,GA,30742-3349,16860,Metropolitan Statistical Area,Catoosa,13047,13047030700,14,34.9538,-85.24355,Inconclusive,0,1,1,150,5/1/1974,6/30/2019,6/30/2019,BATTLEWOOD APTS LIMITED,Limited Dividend,LOOKOUT PROPERTY MANAGEMENT INC,Profit Motivated,800004623,97a,10/29/2018,98c,05/12/2015,98c,05/12/2015,30,71,22,77,Family,847,1/1/1970,1/1/1970,81,52,0,1,0,GA06L000039,Inconclusive,LMSA,2: Request Renewal Without Restructuring at or Below Comparable Rents,7/1/2014,6/30/2019,123,86.85,End Date Passed,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,0,1,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,
1015106,PARADISE MOULTRIE APARTMENTS,502 27th St SE,Moultrie,GA,31788-6271,34220,Micropolitan Statistical Area,Colquitt,13071,13071970701,08,31.170928,-83.753068,Inconclusive,0,1,1,100,3/1/1975,6/30/2019,6/30/2019,PARADISE MOULTRIE HOLDINGS LLC,Profit Motivated,ASPEN COMPANIES MANAGEMENT LLC,Profit Motivated,800004896,95a,12/01/2016,95a,12/01/2016,95a,11/16/2016,30,70,0,68,Family,660,1/1/1972,1/1/1972,90,77,0,1,0,GA06L000032,Inconclusive,LMSA,Renewal,7/1/2014,6/30/2019,100,124.08,End Date Passed,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,0,1,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,
1018532,OCONEE VOA HOUSING,1974 N JEFFERSON ST NE,MILLEDGEVILLE,GA,31061,33300,Micropolitan Statistical Area,Baldwin,13009,13009970300,10,33.11388,-83.232872,Inconclusive,0,1,0,13,7/8/2018,7/7/2019,7/7/2019,OCONEE VOA HOUSING INC,Non-Profit,VOLUNTEERS OF AMERICA SOUTHEAST INC,Profit Motivated,800064866,95b,08/21/2018,97b,02/14/2014,97b,02/14/2014,12,0,0,58,Disabled,730,,,98,63,0,1,0,GA06Q971005,Inconclusive,PRAC/811,,7/8/2018,7/7/2019,12,79.45,End Date Passed,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,
1037863,ELDERWOOD HOMES,479 Jones St,Baxley,GA,31513-0476,,,Appling,13001,13001950300,12,31.77056,-82.35627,Active,1,1,0,30,7/27/1999,7/19/2019,12/1/2027,Elderwood Inc,Non-profit,HOPE HOUSING INC,Non-Profit,800004743,92a,01/31/2018,92a,01/31/2018,92a,01/30/2018,30,0,0,67,Elderly,660,1/1/1987,1/1/1987,75,51,0,1,0,GA06T841018,Inconclusive,202/8 NC,Renewal,7/20/2014,7/19/2019,30,165.74,End Date Passed,,,,,,,,,,1,0,0,800004743,Active,202/8 Direct Loan/ Elderly-Handicapped,7/27/1999,12/1/2027,30,524405.47,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,465
1018238,BENSON MANOR,2348 Windy Hill Rd SE,SMYRNA,GA,30082,12060,Metropolitan Statistical Area,Cobb,13067,13067031004,06,33.896013,-84.543673,Inconclusive,0,1,0,77,7/26/2018,7/25/2019,7/25/2019,SMYRNA RHF HOUSING INC,Non-Profit,FOUNDATION PROPERTY MANAGEMENT INC,Non-Profit,800211188,99a,11/04/2015,99a,11/04/2015,92a,09/05/2012,76,0,0,81,Elderly,1030,,,99,62,0,1,0,GA06S991002,Inconclusive,PRAC/202,,7/26/2018,7/25/2019,76,65.94,End Date Passed,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,
1038022,HOUSING AUTH OF THE CITY OF DAWSON,545 Lemon St NE,Dawson,GA,39842-1069,10500,Metropolitan Statistical Area,Terrell,13273,13273120300,02,31.77931,-84.44241,Inconclusive,0,1,0,20,7/30/2014,7/29/2019,7/29/2019,Housing Authority of the City of Dawson,Non-Profit,Housing Authority of the City of Dawson,Non-Profit,800004801,81c*,02/01/2017,81c*,02/01/2017,81c*,01/26/2017,5,15,0,70,,682,1/1/1982,1/1/1982,99,59,0,1,0,GA06R000029,Inconclusive,515/8 NC,Amend Rents,7/30/2014,7/29/2019,20,95.17,End Date Passed,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,20256
