,GEOID,TOTAL POPULATION_Estimate!!Total,YEAR
0,13121006601,1799.0,2012.0
1,13121006601,1970.0,2013.0
2,13121006601,2413.0,2014.0
3,13121006601,2217.0,2015.0
4,13121006601,2107.0,2016.0
5,13121006601,2087.0,2017.0
6,13121006700,3386.0,2012.0
7,13121006700,3424.0,2013.0
8,13121006700,3837.0,2014.0
9,13121006700,3741.0,2015.0
10,13121006700,3868.0,2016.0
11,13121006700,4051.0,2017.0
12,13121009300,4232.0,2012.0
13,13121009300,4241.0,2013.0
14,13121009300,4449.0,2014.0
15,13121009300,4658.0,2015.0
16,13121009300,4760.0,2016.0
17,13121009300,4916.0,2017.0
18,13121009402,4960.0,2012.0
19,13121009402,4962.0,2013.0
20,13121009402,5115.0,2014.0
21,13121009402,5022.0,2015.0
22,13121009402,4829.0,2016.0
23,13121009402,4957.0,2017.0
25,13089023700,5236.0,2012.0
26,13089023700,4945.0,2013.0
27,13089023700,5266.0,2014.0
28,13089023700,5706.0,2015.0
29,13089023700,5488.0,2016.0
30,13089023700,6211.0,2017.0
31,13121001300,4013.0,2012.0
32,13121001300,4354.0,2013.0
33,13121001300,4492.0,2014.0
34,13121001300,4529.0,2015.0
35,13121001300,4240.0,2016.0
36,13121001300,4655.0,2017.0
37,13121001400,2177.0,2012.0
38,13121001400,2080.0,2013.0
39,13121001400,2157.0,2014.0
40,13121001400,2237.0,2015.0
41,13121001400,2219.0,2016.0
42,13121001400,2281.0,2017.0
43,13121001800,3784.0,2012.0
44,13121001800,4131.0,2013.0
45,13121001800,4126.0,2014.0
46,13121001800,4529.0,2015.0
47,13121001800,4456.0,2016.0
48,13121001800,4336.0,2017.0
49,13121001600,2030.0,2012.0
50,13121001600,2254.0,2013.0
51,13121001600,2162.0,2014.0
52,13121001600,2090.0,2015.0
53,13121001600,2264.0,2016.0
54,13121001600,2304.0,2017.0
55,13121001500,4121.0,2012.0
56,13121001500,3967.0,2013.0
57,13121001500,4192.0,2014.0
58,13121001500,4366.0,2015.0
59,13121001500,4308.0,2016.0
60,13121001500,4637.0,2017.0
61,13121001900,3227.0,2012.0
62,13121001900,3659.0,2013.0
63,13121001900,4361.0,2014.0
64,13121001900,4977.0,2015.0
65,13121001900,5234.0,2016.0
66,13121001900,5188.0,2017.0
67,13121000500,4422.0,2012.0
68,13121000500,4636.0,2013.0
69,13121000500,5159.0,2014.0
70,13121000500,5471.0,2015.0
71,13121000500,5541.0,2016.0
72,13121000500,5572.0,2017.0
73,13121003600,1335.0,2012.0
74,13121003600,1255.0,2013.0
75,13121003600,1364.0,2014.0
76,13121003600,1453.0,2015.0
77,13121003600,1281.0,2016.0
78,13121003600,1358.0,2017.0
79,13121010002,6904.0,2012.0
80,13121010002,6917.0,2013.0
81,13121010002,7073.0,2014.0
82,13121010002,7409.0,2015.0
83,13121010002,7709.0,2016.0
84,13121010002,7624.0,2017.0
85,13121010001,3984.0,2012.0
86,13121010001,4257.0,2013.0
87,13121010001,4291.0,2014.0
88,13121010001,4504.0,2015.0
89,13121010001,4750.0,2016.0
90,13121010001,4935.0,2017.0
91,13121009802,4148.0,2012.0
92,13121009802,4105.0,2013.0
93,13121009802,4394.0,2014.0
94,13121009802,4484.0,2015.0
95,13121009802,4494.0,2016.0
96,13121009802,4648.0,2017.0
97,13121006801,2302.0,2012.0
98,13121006801,2299.0,2013.0
99,13121006801,2355.0,2014.0
100,13121006801,2382.0,2015.0
101,13121006801,2509.0,2016.0
102,13121006801,2494.0,2017.0
103,13121009700,4175.0,2012.0
104,13121009700,4135.0,2013.0
105,13121009700,4069.0,2014.0
106,13121009700,3923.0,2015.0
107,13121009700,3825.0,2016.0
108,13121009700,3855.0,2017.0
109,13121007100,2609.0,2012.0
110,13121007100,2215.0,2013.0
111,13121007100,1927.0,2014.0
112,13121007100,2019.0,2015.0
113,13121007100,2002.0,2016.0
114,13121007100,2266.0,2017.0
115,13121006200,1182.0,2012.0
116,13121006200,1521.0,2013.0
117,13121006200,1366.0,2014.0
118,13121006200,1475.0,2015.0
119,13121006200,1480.0,2016.0
120,13121006200,1664.0,2017.0
121,13121001100,3489.0,2012.0
122,13121001100,3487.0,2013.0
123,13121001100,3797.0,2014.0
124,13121001100,4245.0,2015.0
125,13121001100,4287.0,2016.0
126,13121001100,4356.0,2017.0
127,13121002500,2208.0,2012.0
128,13121002500,1933.0,2013.0
129,13121002500,1884.0,2014.0
130,13121002500,2205.0,2015.0
131,13121002500,2282.0,2016.0
132,13121002500,2271.0,2017.0
133,13121004200,2331.0,2012.0
134,13121004200,2532.0,2013.0
135,13121004200,2593.0,2014.0
136,13121004200,2227.0,2015.0
137,13121004200,2527.0,2016.0
138,13121004200,2546.0,2017.0
139,13121009101,4572.0,2012.0
140,13121009101,4430.0,2013.0
141,13121009101,4783.0,2014.0
142,13121009101,4562.0,2015.0
143,13121009101,4547.0,2016.0
144,13121009101,4551.0,2017.0
145,13121008904,5014.0,2012.0
146,13121008904,4671.0,2013.0
147,13121008904,4776.0,2014.0
148,13121008904,4572.0,2015.0
149,13121008904,4688.0,2016.0
150,13121008904,4889.0,2017.0
151,13121003700,0.0,2012.0
152,13121003700,0.0,2013.0
153,13121003700,30.0,2014.0
154,13121003700,54.0,2015.0
155,13121003700,95.0,2016.0
