,GEOID,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Family households,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Family households!!Married-couple family,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Family households!!Other family,"HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Family households!!Other family!!Male householder, no wife present","HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Family households!!Other family!!Female householder, no husband present",HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Nonfamily households,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Nonfamily households!!Householder living alone,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Nonfamily households!!Householder not living alone,YEAR
0,13121006601,790.0,398.0,98.0,300.0,110.0,190.0,392.0,317.0,75.0,2012.0
1,13121006601,808.0,433.0,125.0,308.0,106.0,202.0,375.0,328.0,47.0,2013.0
2,13121006601,798.0,439.0,155.0,284.0,67.0,217.0,359.0,318.0,41.0,2014.0
3,13121006601,782.0,390.0,146.0,244.0,52.0,192.0,392.0,346.0,46.0,2015.0
4,13121006601,794.0,368.0,120.0,248.0,66.0,182.0,426.0,352.0,74.0,2016.0
5,13121006601,764.0,354.0,148.0,206.0,39.0,167.0,410.0,338.0,72.0,2017.0
6,13121006700,1318.0,579.0,208.0,371.0,34.0,337.0,739.0,607.0,132.0,2012.0
7,13121006700,1391.0,607.0,238.0,369.0,27.0,342.0,784.0,666.0,118.0,2013.0
8,13121006700,1463.0,667.0,260.0,407.0,48.0,359.0,796.0,683.0,113.0,2014.0
9,13121006700,1451.0,595.0,205.0,390.0,36.0,354.0,856.0,734.0,122.0,2015.0
10,13121006700,1431.0,588.0,197.0,391.0,20.0,371.0,843.0,702.0,141.0,2016.0
11,13121006700,1505.0,696.0,207.0,489.0,84.0,405.0,809.0,691.0,118.0,2017.0
12,13121009300,2358.0,919.0,837.0,82.0,0.0,82.0,1439.0,1200.0,239.0,2012.0
13,13121009300,2280.0,838.0,749.0,89.0,0.0,89.0,1442.0,1163.0,279.0,2013.0
