,GEOID,MEDIAN GROSS RENT (DOLLARS)_Estimate!!Median gross rent,YEAR
0,13121006601,820.0,2012.0
1,13121006601,818.0,2013.0
2,13121006601,836.0,2014.0
3,13121006601,868.0,2015.0
4,13121006601,937.0,2016.0
5,13121006601,958.0,2017.0
6,13121006700,886.0,2012.0
7,13121006700,817.0,2013.0
8,13121006700,861.0,2014.0
9,13121006700,829.0,2015.0
10,13121006700,834.0,2016.0
11,13121006700,778.0,2017.0
12,13121009300,1127.0,2012.0
13,13121009300,1129.0,2013.0
14,13121009300,1173.0,2014.0
15,13121009300,1177.0,2015.0
16,13121009300,1158.0,2016.0
17,13121009300,1245.0,2017.0
18,13121009402,1142.0,2012.0
19,13121009402,1186.0,2013.0
20,13121009402,1225.0,2014.0
21,13121009402,1261.0,2015.0
22,13121009402,1340.0,2016.0
23,13121009402,1419.0,2017.0
25,13089023700,796.0,2012.0
26,13089023700,873.0,2013.0
27,13089023700,871.0,2014.0
28,13089023700,862.0,2015.0
29,13089023700,942.0,2016.0
30,13089023700,1001.0,2017.0
31,13121001300,1015.0,2012.0
32,13121001300,995.0,2013.0
33,13121001300,967.0,2014.0
34,13121001300,970.0,2015.0
35,13121001300,1017.0,2016.0
36,13121001300,1113.0,2017.0
37,13121001400,1082.0,2012.0
38,13121001400,1053.0,2013.0
39,13121001400,1063.0,2014.0
40,13121001400,1048.0,2015.0
41,13121001400,1145.0,2016.0
42,13121001400,1216.0,2017.0
43,13121001800,857.0,2012.0
44,13121001800,552.0,2013.0
45,13121001800,724.0,2014.0
46,13121001800,827.0,2015.0
47,13121001800,731.0,2016.0
48,13121001800,911.0,2017.0
49,13121001600,1092.0,2012.0
50,13121001600,1189.0,2013.0
51,13121001600,1235.0,2014.0
52,13121001600,1263.0,2015.0
53,13121001600,1264.0,2016.0
54,13121001600,1320.0,2017.0
55,13121001500,929.0,2012.0
56,13121001500,937.0,2013.0
57,13121001500,910.0,2014.0
58,13121001500,891.0,2015.0
59,13121001500,915.0,2016.0
60,13121001500,949.0,2017.0
61,13121001900,961.0,2012.0
62,13121001900,1062.0,2013.0
63,13121001900,1131.0,2014.0
64,13121001900,1172.0,2015.0
65,13121001900,1210.0,2016.0
66,13121001900,1264.0,2017.0
67,13121000500,1148.0,2012.0
68,13121000500,1154.0,2013.0
69,13121000500,1235.0,2014.0
70,13121000500,1329.0,2015.0
71,13121000500,1291.0,2016.0
72,13121000500,1341.0,2017.0
73,13121003600,696.0,2012.0
74,13121003600,661.0,2013.0
75,13121003600,763.0,2014.0
76,13121003600,798.0,2015.0
77,13121003600,804.0,2016.0
78,13121003600,821.0,2017.0
79,13121010002,1387.0,2012.0
80,13121010002,1431.0,2013.0
81,13121010002,1620.0,2014.0
82,13121010002,1621.0,2015.0
83,13121010002,1804.0,2016.0
84,13121010002,1820.0,2017.0
85,13121010001,1031.0,2012.0
86,13121010001,1078.0,2013.0
87,13121010001,1142.0,2014.0
88,13121010001,1195.0,2015.0
89,13121010001,1250.0,2016.0
90,13121010001,1363.0,2017.0
91,13121009802,1451.0,2012.0
92,13121009802,1597.0,2013.0
93,13121009802,1523.0,2014.0
94,13121009802,1563.0,2015.0
95,13121009802,1584.0,2016.0
96,13121009802,1714.0,2017.0
97,13121006801,-666666666.0,2012.0
98,13121006801,-666666666.0,2013.0
99,13121006801,-666666666.0,2014.0
100,13121006801,-666666666.0,2015.0
101,13121006801,-666666666.0,2016.0
102,13121006801,-666666666.0,2017.0
103,13121009700,1322.0,2012.0
104,13121009700,1246.0,2013.0
105,13121009700,1696.0,2014.0
106,13121009700,1657.0,2015.0
107,13121009700,1800.0,2016.0
108,13121009700,2361.0,2017.0
109,13121007100,852.0,2012.0
110,13121007100,823.0,2013.0
111,13121007100,742.0,2014.0
112,13121007100,748.0,2015.0
113,13121007100,825.0,2016.0
114,13121007100,798.0,2017.0
115,13121006200,957.0,2012.0
